Method,Variant,N_Clusters,Noise_Points,Noise_Pct,Silhouette,Calinski_Harabasz,Davies_Bouldin,Time_seconds,Can_Find_Arbitrary_Shapes,Requires_K,Handles_Noise,Hierarchical
DBSCAN,eps=0.5,18,9296,94.24168694241686,0.42448305285587723,67.12897223528212,0.9407925604442977,0.18425583839416504,True,False,True,False
HDBSCAN,mcs=15,25,8970,90.93673965936739,0.340551047292407,57.643788683017966,1.200961410141585,6.9729249477386475,True,False,True,True
HDBSCAN,mcs=10,41,8797,89.18288726682887,0.3334017899427836,48.87219226775404,1.1613024169443367,6.949323892593384,True,False,True,True
DBSCAN,eps=0.6,26,8708,88.28061638280616,0.23137828631664467,48.206664475879656,1.266547815706444,0.17877197265625,True,False,True,False
DBSCAN,eps=0.65,30,8179,82.9176804541768,0.13925215264368893,32.71297748932104,1.488267294895364,0.17893600463867188,True,False,True,False
K-Means,k=100,100,0,0.0,0.059341480149439005,53.899627404346525,2.7519384237582214,0.07022500038146973,False,True,False,False
K-Means,k=40,40,0,0.0,0.05753110364962622,84.81609117090545,3.4286849159568376,0.04074692726135254,False,True,False,False
K-Means,k=50,50,0,0.0,0.05742054559782789,76.22288920191079,3.225308840076621,0.049575090408325195,False,True,False,False
K-Means,k=30,30,0,0.0,0.05471221471614624,98.35060212180882,3.597533240024832,0.040606021881103516,False,True,False,False
K-Means,k=20,20,0,0.0,0.04563003571980959,112.70027493953933,3.991574151682684,0.04588484764099121,False,True,False,False
HDBSCAN,mcs=20,2,6768,68.61313868613139,0.020045064138832728,17.114854249017508,1.8554894208754906,6.946139097213745,True,False,True,True
Agglomerative,ward-k=40,40,0,0.0,0.018620523471772146,67.99114561130854,3.6461810104626364,2.355738878250122,False,True,False,True
Agglomerative,ward-k=20,20,0,0.0,0.017123609505975013,90.45269868111824,4.235070069275554,2.2941911220550537,False,True,False,True
Agglomerative,ward-k=30,30,0,0.0,0.01557446770156368,76.78272599776288,3.8644706955559527,2.181701898574829,False,True,False,True
DBSCAN,eps=0.7,29,7421,75.23317112733172,0.00584537332297907,19.577148549906724,1.6909608610315865,0.18233203887939453,True,False,True,False
Agglomerative,complete-k=40,40,0,0.0,-0.0004613652713098835,33.268761324811976,4.993365964417202,2.221818208694458,False,True,False,True
Agglomerative,complete-k=30,30,0,0.0,-0.0028319961520428686,32.293319576758066,5.663930525198688,2.2639732360839844,False,True,False,True
Agglomerative,complete-k=20,20,0,0.0,-0.0036880174206594942,33.62605727003747,6.815241349254931,2.2629318237304688,False,True,False,True
Agglomerative,average-k=40,40,0,0.0,-0.003876801309555417,37.24142356456276,3.331218248165294,2.295062780380249,False,True,False,True
Agglomerative,average-k=20,20,0,0.0,-0.010430677002226465,35.910316481295204,3.822883425258206,2.1582581996917725,False,True,False,True
Agglomerative,average-k=30,30,0,0.0,-0.012410597328050237,35.042716703514095,3.4722167463032414,2.152498960494995,False,True,False,True
Agglomerative,single-k=20,20,0,0.0,-0.08217152545951373,1.0118466754899085,0.9954758039375544,2.2629380226135254,False,True,False,True
Agglomerative,single-k=30,30,0,0.0,-0.08516944471059622,1.0097995904628356,0.9959457263920335,2.2022628784179688,False,True,False,True
Agglomerative,single-k=40,40,0,0.0,-0.11629774728618995,1.0207859344367975,1.0359190606496633,2.1496617794036865,False,True,False,True
