linkage,n_clusters,silhouette,calinski_harabasz,davies_bouldin,time
ward,10,0.010372189451357866,119.56034895398165,4.445324935769033,2.3059442043304443
ward,20,0.016382297988164523,90.45269868111824,4.235070069275554,2.1484808921813965
ward,30,0.016000250540241463,76.78272599776288,3.8644706955559527,2.0795090198516846
ward,40,0.01836544771230701,67.99114561130854,3.6461810104626364,2.089641809463501
ward,50,0.022083497758885184,61.579509129379126,3.4716765311351976,2.1772098541259766
complete,10,-0.003042624995592142,37.51670173557985,8.681805063835231,2.1356401443481445
complete,20,-0.0034449706905556113,33.62605727003747,6.815241349254931,2.063015937805176
complete,30,-0.002144032083424773,32.293319576758066,5.663930525198688,2.089111089706421
complete,40,0.00023234378210621116,33.268761324811976,4.993365964417202,2.1571178436279297
complete,50,-0.0010066434994016502,32.3530770893998,4.647496936433082,2.0663139820098877
average,10,0.0015152997390987253,49.8889561507169,4.13940191743169,2.139855146408081
average,20,-0.008262178413430285,35.910316481295204,3.822883425258206,2.078634023666382
average,30,-0.010989185887691521,35.042716703514095,3.4722167463032414,2.066812753677368
average,40,-0.0035728142630048225,37.24142356456276,3.331218248165294,2.085291862487793
average,50,0.011197394021583837,41.33429672816385,3.188826930270742,2.0830910205841064
single,10,-0.07642915545101041,1.0160044178662861,0.9934688917695953,2.11303973197937
single,20,-0.10506660230102184,1.0118466754899085,0.9954758039375544,2.1648151874542236
single,30,-0.11840989547715726,1.0097995904628356,0.9959457263920335,2.127377986907959
single,40,-0.12685805700304117,1.0207859344367975,1.0359190606496633,2.121299982070923
single,50,-0.1337584984749247,1.017675738886241,1.0281574398686097,2.1427879333496094
